Id,Semester,Name,Mathematics,Science,English,URL,Time Spent
101,Summer,John,78,89,90,myschool@gmail.com,23m
102,Summer,Jane,85,92,78,myschool@gmail.com,50m
103,Summer,Bob,92,86,89,mmyschool@gmail.com,30m
104,Summer,Alice,79,91,84,myschool@gmail.com, 40m
105,Summer,Charlie,88,83,90,myschool@gmail.com, 23m
106,Summer,David,90,87,93,myschool@gmail.com, 25m
107,Summer,Emma,84,90,91,myschool@gmail.com, 22m
108,Summer,Frank,91,85,87,myschool@gmail.com, 20m
109,Summer,Grace,89,92,86,myschool@gmail.com, 29m
110,Summer,Henry,87,89,94,myschool@gmail.com, 28m
111,Summer,Isabel,93,84,91,myschool@gmail.com, 40m
112,Summer,Jack,85,90,88,myschool@gmail.com, 39m
113,Summer,Kate,88,86,93,myschool@gmail.com, 25m
114,Summer,Liam,92,88,89,myschool@gmail.com, 23m
115,Summer,Mia,91,87,90, myschool@gmail.com, 21m
116,Spring,Deddy,89,90,78,myschool@gmail.com, 15m
117,Spring,Eva,77,84,92, myschool@gmail.com, 34m
118,Spring,Felix,93,82,89,myschool@gmail.com, 45m
119,Spring,Grace,85,91,77,myschool@gmail.com, 23m
120,Spring,Harry,78,86,95,myschool@gmail.com, 46m
121,Spring,Ingrid,92,89,83,myschool@gmail.com, 48m
122,Spring,John,89,94,91,myschool@gmail.com, 23m
123,Spring,Kate,91,87,89,myschool@gmail.com, 20m
124,Spring,Liam,86,90,88,myschool@gmail.com, 15m
125,Spring,Mia,88,92,80, myschool@gmail.com, 10m
126,Spring,Nina,90,84,93,myschool@gmail.com, 50m
127,Spring,Oscar,82,95,87,myschool@gmail.com, 48m
128,Spring,Paula,94,88,82,myschool@gmail.com, 29m
129,Spring,Quincy,79,93,90,myschool@gmail.com, 23m
130,Spring,Riley,87,86,94,myschool@gmail.com, 27m
131,Spring,Sophia,93,89,91,myschool@gmail.com, 23m
132,Spring,Travis,85,82,88,myschool@gmail.com,22m
133,Spring,Una,89,94,77, myschool@gmail.com, 23m
134,Spring,Vincent,78,91,95,myschool@gmail.com, 28m
135,Spring,Wendy,92,85,89,myschool@gmail.com, 29m
136,Fall,Sam,89,91,88, mymyschool@gmail.com, 32m
137,Fall,Oliver,78,86,92,myschool@gmail.com, 32m
138,Fall,Emma,91,89,83, mmyschool@gmail.com, 59m
139,Fall,Sophia,85,90,78,myschool@gmail.com, 40m
